instance,n,instance_seed,method,search_seed,feasible,distance,makespan,tardiness,late_orders,batches,used_pickers,on_time_rate,objective,preprocessing_seconds,optimization_seconds,total_seconds
synthetic-n20-seed201,20,201,ALNS,10,True,504.0,7.98,23.706575117702695,14,5,3,0.30000000000000004,0.6120548710289534,0.0007789999999658903,0.2335067000003619,0.2349244999986695
synthetic-n20-seed201,20,201,ALNS_NO_SCHEDULE,1,True,504.0,7.96,28.29433052028727,17,5,3,0.15000000000000002,0.6195544329963326,0.0008079999988694908,0.26952970000093046,0.271003899999414
synthetic-n20-seed201,20,201,ALNS_NO_SCHEDULE,2,True,520.0,8.086666666666666,27.92576335949785,16,5,3,0.19999999999999996,0.632440172257032,0.0007736000006843824,0.2292213000000629,0.2306351999995968
synthetic-n20-seed201,20,201,ALNS_NO_SCHEDULE,3,True,472.0,7.740000000000001,24.374971329180266,15,5,3,0.25,0.5866378490916616,0.0007637999988219235,0.2166784999990341,0.21808969999983674
synthetic-n20-seed201,20,201,ALNS_NO_SCHEDULE,4,True,472.0,7.853333333333333,28.01564391317149,17,5,3,0.15000000000000002,0.5972168950276535,0.0007662999996682629,0.23250429999825428,0.2339059999994788
synthetic-n20-seed201,20,201,ALNS_NO_SCHEDULE,5,True,504.0,7.946666666666666,26.753181245644726,17,5,3,0.15000000000000002,0.6163169402647617,0.0007755999995424645,0.22160810000059428,0.22309859999950277
synthetic-n20-seed201,20,201,ALNS_NO_SCHEDULE,6,True,480.0,8.086666666666666,27.988171273558848,19,5,3,0.050000000000000044,0.6100294117582576,0.0007783999990351731,0.2209125999997923,0.2223113000000012
synthetic-n20-seed201,20,201,ALNS_NO_SCHEDULE,7,True,480.0,7.880000000000001,25.374322611798405,15,5,3,0.25,0.597946349446127,0.0011718999994627666,0.189619999999195,0.19147619999966992
synthetic-n20-seed201,20,201,ALNS_NO_SCHEDULE,8,True,504.0,7.88,23.718944112715903,14,5,3,0.30000000000000004,0.608495359916871,0.0007707999993726844,0.21140449999984412,0.2128222999999707
synthetic-n20-seed201,20,201,ALNS_NO_SCHEDULE,9,True,520.0,8.44,22.33288985885094,17,5,3,0.15000000000000002,0.635079486666093,0.0009699000002001412,0.25591779999922437,0.2575391000009404
synthetic-n20-seed201,20,201,ALNS_NO_SCHEDULE,10,True,488.0,8.566666666666666,28.5444101450301,17,5,3,0.15000000000000002,0.6327220231242794,0.0007993999988684664,0.2187527999994927,0.22019819999877654
synthetic-n20-seed201,20,201,ALNS_NO_2OPT,1,True,528.0,8.38,24.145928068482387,14,5,3,0.30000000000000004,0.6406818389672156,0.0007738000003882917,0.20409319999998843,0.20551809999960824
synthetic-n20-seed201,20,201,ALNS_NO_2OPT,2,True,472.0,7.853333333333333,29.415643913171486,17,5,3,0.15000000000000002,0.5997240583514357,0.0007734999999229331,0.22357800000099814,0.22500039999977162
synthetic-n20-seed201,20,201,ALNS_NO_2OPT,3,True,504.0,8.113333333333333,27.892652135477533,16,5,3,0.19999999999999996,0.6243269764810334,0.0010751999998319661,0.2136248999995587,0.2152991999992082
synthetic-n20-seed201,20,201,ALNS_NO_2OPT,4,True,512.0,8.42,27.497792476625786,18,5,3,0.09999999999999998,0.6391081172220737,0.0009848999998212093,0.24693219999971916,0.2487319000010757
synthetic-n20-seed201,20,201,ALNS_NO_2OPT,5,True,504.0,7.96,28.832223637131953,13,5,3,0.35,0.6205177086353811,0.0007687999986956129,0.23015099999975064,0.23173339999993914
synthetic-n20-seed201,20,201,ALNS_NO_2OPT,6,True,496.0,8.120000000000001,20.638081045927354,15,5,3,0.25,0.6070695390320145,0.0014353999995364575,0.23505160000058822,0.23713229999884788
synthetic-n20-seed201,20,201,ALNS_NO_2OPT,7,True,472.0,7.8533333333333335,27.738462176901002,18,5,3,0.09999999999999998,0.5967205093967966,0.0008092000007309252,0.23836429999937536,0.23994590000074822
synthetic-n20-seed201,20,201,ALNS_NO_2OPT,8,True,504.0,7.953333333333333,22.302627489419613,18,5,3,0.09999999999999998,0.6085855283326488,0.0008872999987943331,0.2294120999995357,0.23097620000044117
synthetic-n20-seed201,20,201,ALNS_NO_2OPT,9,True,480.0,8.186666666666667,31.84190286394712,18,5,3,0.09999999999999998,0.6205124554373198,0.0007184000005509006,0.24579479999920295,0.2471378000009281
synthetic-n20-seed201,20,201,ALNS_NO_2OPT,10,True,488.0,7.933333333333334,22.188972080464865,15,5,3,0.25,0.5986566493219301,0.0010385999994468875,0.22946740000043064,0.23134449999997742
synthetic-n20-seed202,20,202,B0,1,True,712.0,9.26,38.80261175965097,14,6,3,0.30000000000000004,0.7365057807049153,0.0008861999995133374,1.2099999366910197e-05,0.001563400001032278
synthetic-n20-seed202,20,202,B1,1,True,656.0,9.086666666666666,28.148352048566835,15,6,3,0.25,0.6848729180112827,0.001050799999575247,0.004724399999759044,0.006652399999438785
synthetic-n20-seed202,20,202,B2,1,True,624.0,8.953333333333333,26.94835204856684,15,6,3,0.25,0.6629322013585026,0.001034099999742466,0.0046598000008089,0.006569799999851966
synthetic-n20-seed202,20,202,B3,1,True,624.0,8.433333333333334,26.948352048566843,15,6,3,0.25,0.6442136988387043,0.0012224999991303775,0.010761499999716762,0.012672499999098363
synthetic-n20-seed202,20,202,B3,2,True,624.0,8.433333333333334,26.948352048566846,15,6,3,0.25,0.6442136988387043,0.0009110000009968644,0.008998799999972107,0.010610799999994924
synthetic-n20-seed202,20,202,B3,3,True,624.0,8.433333333333334,26.948352048566843,15,6,3,0.25,0.6442136988387043,0.0008870000001479639,0.008800499999779277,0.010770099999717786
synthetic-n20-seed202,20,202,B3,4,True,624.0,8.433333333333334,26.948352048566846,15,6,3,0.25,0.6442136988387043,0.0010615000010147924,0.009288799999922048,0.011037899999791989
synthetic-n20-seed202,20,202,B3,5,True,624.0,8.433333333333334,26.948352048566846,15,6,3,0.25,0.6442136988387043,0.0019166000001860084,0.010211600001639454,0.01281829999970796
synthetic-n20-seed202,20,202,B3,6,True,624.0,8.433333333333334,26.948352048566846,15,6,3,0.25,0.6442136988387043,0.0017196999997395324,0.009350399999675574,0.011805899999671965
synthetic-n20-seed202,20,202,B3,7,True,624.0,8.433333333333334,26.948352048566846,15,6,3,0.25,0.6442136988387043,0.00116869999874325,0.009444700001040474,0.011324499999318505
synthetic-n20-seed202,20,202,B3,8,True,624.0,8.433333333333334,26.948352048566846,15,6,3,0.25,0.6442136988387043,0.0015113000008568633,0.014235300001018913,0.01659250000011525
synthetic-n20-seed202,20,202,B3,9,True,624.0,8.433333333333334,26.948352048566846,15,6,3,0.25,0.6442136988387043,0.0017114999991463264,0.01006250000136788,0.013217299998359522
synthetic-n20-seed202,20,202,B3,10,True,624.0,8.433333333333334,26.948352048566846,15,6,3,0.25,0.6442136988387043,0.0008056999995460501,0.008616299999630428,0.010112100000696955
synthetic-n20-seed202,20,202,LNS,1,True,568.0,8.013333333333334,21.54708678974072,14,6,3,0.30000000000000004,0.5931561801316172,0.0008299000000988599,0.23176620000049297,0.2332661000000371
synthetic-n20-seed202,20,202,LNS,2,True,568.0,8.066666666666666,26.234072037718754,14,6,3,0.30000000000000004,0.6035119251183787,0.0008209999996324768,0.27991389999988314,0.2815487999996549
synthetic-n20-seed202,20,202,LNS,3,True,568.0,8.066666666666666,23.22221106545686,12,6,3,0.4,0.5980910090415934,0.000803700000687968,0.3002990000004502,0.3042010000008304
synthetic-n20-seed202,20,202,LNS,4,True,568.0,8.033333333333335,22.580420123074056,14,6,3,0.30000000000000004,0.5957359737481278,0.0033060999994631857,0.300747200000842,0.3078943000000436
synthetic-n20-seed202,20,202,LNS,5,True,608.0,8.206666666666667,29.90757942574845,15,6,3,0.25,0.6338898980666366,0.003722100000231876,0.30008640000050946,0.30544019999979355
synthetic-n20-seed202,20,202,LNS,6,True,560.0,7.846666666666667,23.362585057529884,13,6,3,0.35,0.5866789772123431,0.0032884000011108583,0.3004720000008092,0.3072989000011148
synthetic-n20-seed202,20,202,LNS,7,True,576.0,8.06,27.155709818823667,13,6,3,0.35,0.6086760779696675,0.0020349000005808193,0.30066339999939373,0.3043335999991541
synthetic-n20-seed202,20,202,LNS,8,True,584.0,8.173333333333334,28.406587074231638,14,6,3,0.30000000000000004,0.6187524688956558,0.005276300000332412,0.30016860000068846,0.30700400000023365
synthetic-n20-seed202,20,202,LNS,9,True,576.0,8.766666666666666,27.18170727099725,14,6,3,0.30000000000000004,0.6341608346030492,0.0035098000007565133,0.3002071999999316,0.3062470000004396
synthetic-n20-seed202,20,202,LNS,10,True,560.0,7.966666666666667,20.768003295360955,13,6,3,0.35,0.5863287580579714,0.004182600001513492,0.3001352000010229,0.3064325000013923
synthetic-n20-seed202,20,202,ALNS,1,True,584.0,8.453333333333333,25.980511515755097,13,6,3,0.35,0.6244650758818392,0.0033458999987487914,0.3009270000002289,0.31009679999988293
synthetic-n20-seed202,20,202,ALNS,2,True,600.0,8.366666666666667,26.6712199580967,14,6,3,0.30000000000000004,0.6300791379081482,0.018316300000151386,0.3005410000005213,0.32095079999999143
synthetic-n20-seed202,20,202,ALNS,3,True,592.0,8.206666666666667,24.815001885242978,14,6,3,0.30000000000000004,0.617233355062111,0.01133540000046196,0.3006030999986251,0.31702469999981986
synthetic-n20-seed202,20,202,ALNS,4,True,568.0,8.066666666666666,26.949175404493836,13,6,3,0.35,0.6047990082119263,0.0032398000003013294,0.3007209999996121,0.30803829999968
synthetic-n20-seed202,20,202,ALNS,5,True,600.0,8.306666666666667,24.725050457338423,15,6,3,0.25,0.6244164858189504,0.0036973999995097984,0.3004232999992382,0.3077640999999858
