instance,n,instance_seed,method,search_seed,feasible,distance,makespan,tardiness,late_orders,batches,used_pickers,on_time_rate,objective,preprocessing_seconds,optimization_seconds,validation_seconds,total_seconds
synthetic-n20-seed401,20,401,B0,1,True,672.0,11.266666666666667,40.964050293177934,17,4,3,0.15000000000000002,0.7272643742009535,0.0018893999986175913,9.100000170292333e-06,0.0003656999979284592,0.002719499996601371
synthetic-n20-seed401,20,401,B2,1,True,608.0,11.346666666666668,26.465398806796518,16,4,3,0.19999999999999996,0.6764374970608664,0.0018062000017380342,0.003446900002018083,0.00037800000063725747,0.0061051000011502765
synthetic-n20-seed401,20,401,B3,1,True,608.0,11.346666666666668,26.465398806796518,16,4,3,0.19999999999999996,0.6764374970608664,0.0017908999980136286,0.006689499998174142,0.000320099999953527,0.009249099999578902
synthetic-n20-seed401,20,401,B3,2,True,608.0,11.346666666666668,26.465398806796518,16,4,3,0.19999999999999996,0.6764374970608664,0.001615900000615511,0.008101699997496326,0.00047590000031050295,0.010684800003218697
synthetic-n20-seed401,20,401,B3,3,True,608.0,11.346666666666668,26.465398806796518,16,4,3,0.19999999999999996,0.6764374970608664,0.0016154000004462432,0.0072962000012921635,0.0003274000009696465,0.00969700000132434
synthetic-n20-seed401,20,401,B3,4,True,608.0,11.346666666666668,26.465398806796518,16,4,3,0.19999999999999996,0.6764374970608664,0.002106100000673905,0.006868399999802932,0.00032160000046133064,0.009720800000650343
synthetic-n20-seed401,20,401,B3,5,True,608.0,11.346666666666668,26.465398806796518,16,4,3,0.19999999999999996,0.6764374970608664,0.0021336999998311512,0.006969099998968886,0.00031039999885251746,0.009863600000244332
synthetic-n20-seed401,20,401,B3,6,True,608.0,11.346666666666668,26.465398806796518,16,4,3,0.19999999999999996,0.6764374970608664,0.0030643999998574145,0.008863399998517707,0.0003371999991941266,0.012734500000078697
synthetic-n20-seed401,20,401,B3,7,True,608.0,11.346666666666668,26.465398806796518,16,4,3,0.19999999999999996,0.6764374970608664,0.0017674999980954453,0.007923400000436231,0.0003259999975853134,0.010450699999637436
synthetic-n20-seed401,20,401,B3,8,True,608.0,11.346666666666668,26.465398806796518,16,4,3,0.19999999999999996,0.6764374970608664,0.002493500000127824,0.007229700000607409,0.0003127999989374075,0.010598299999401206
synthetic-n20-seed401,20,401,B3,9,True,608.0,11.346666666666668,26.465398806796518,16,4,3,0.19999999999999996,0.6764374970608664,0.0027692000003298745,0.007078700000420213,0.00030390000029001385,0.010589299999992363
